id,level,word,word_reading,meaning,sentence_jp,sentence_en
JLPT Tango N1 item 0087,N1,片思い,片思[かたおも]い,one-sided love,片思いのままでは辛いので、彼に告白することにした。,One-sided love was painful so he decided to declare his love.
JLPT Tango N1 item 0088,N1,密か,密[ひそ]か,secretly,3年前から彼女のことを密かに思い続けている。,I have hidden my feelings for her for the last three years.
JLPT Tango N1 item 0089,N1,引かれる,引[ひ]かれる,to be charmed by; to be attracted to; to be taken with; to be drawn to.,兄は彼女の優しさに引かれたそうだ。,My older brother says he was attracted to her kindness.
JLPT Tango N1 item 0090,N1,気がある,気[き] が ある,"have the hots for;&nbsp;to have an interest (in something), to feel inclined (toward doing something)",あの子は僕に気があるようだ。,She seems to have the hots for me.
JLPT Tango N1 item 0091,N1,満更,満更[まんざら],(not) altogether; (not) wholly; pretty much（あとに打ち消しのことばがくる）かならずしも。,彼女も彼のことを満更嫌いでもないようだ。,She seems to have feelings for him too.
JLPT Tango N1 item 0092,N1,赤らめる,赤[あか]らめる,blush,彼女のことを見つめたら、頬を赤らめて微笑んだ。,"When I glanced at her, she blushed and smiled."
JLPT Tango N1 item 0093,N1,眼差し,眼差[まなざ]し,(a) look; gaze物や人を見るときの目のようす。目つき。,彼からの熱い眼差しを感じた。,I felt him giving staring hotly at me.
JLPT Tango N1 item 0094,N1,直感,直感[ちょっかん],instinct,初めて会った時に、結婚すると直感した。,I knew I was going to marry him when I first met him.
JLPT Tango N1 item 0095,N1,告白,告白[こくはく],confession,好きな気持ちを彼に中々告白できない。,I just can't confess my feelings for him.
JLPT Tango N1 item 0096,N1,受け止める[1],受[う]け 止[と]める,accept,彼女は僕の告白をしっかり受け止めてくれた。,She strongly accepted my declaration of love.
JLPT Tango N1 item 0096,N1,受け止める[2],受[う]け 止[と]める,accept,相手の言葉を深刻に受け止める。,One must seriously listen to what the other person is saying.
JLPT Tango N1 item 0097,N1,運命,運命[うんめい],fate,二人の出会いに運命を感じた。,I felt that our meeting was fate.
JLPT Tango N1 item 0098,N1,一筋,一筋[ひとすじ],single-hearted,付き合い始めてから彼女一筋だ。,I’ve only had eyes for her since we started dating.
JLPT Tango N1 item 0099,N1,育む,育[はぐく]む,nurture育む＝羽含む：羽（は）＋ 銜む・含む（くくむ）,遠くに住んでも、二人は愛を育んでいる。,"We live far apart, but we are nurturing the love between us."
JLPT Tango N1 item 0100,N1,惚気る,惚気[のろけ]る,"to go on about (one's love affairs); to speak proudly of (one's spouse, girlfriend, etc.); to speak fondly of.［自下一］自分の配偶者や恋人のことや、それとの仲のむつまじいことを得意になって話す。",親友は何時も恋人の事を惚気ている。,My best friend is always bragging about his girlfriend.
JLPT Tango N1 item 0101,N1,片時,片時[かたとき],(not) even for a moment,彼女のことを片時も忘れられない。,I cannot forget about her for even a moment.
